"ID","Author_year","Latitude","Longitude","MAT","MAP","Climate_zone","Forest_type","Leaf_habit","Management_type","Sub_management","Time_since","Severity_level","Severity","Season","Residue","Repeat","Age","Regen","C_rep_n","T_rep_n","C_SR","T_SR","C_Rh","T_Rh","C_Ra","T_Ra","C_Ts","T_Ts","C_SM","T_SM","C_BD","T_BD","C_Clay","T_Clay","C_Silt","T_Silt","C_Sand","T_Sand","C_pH","T_pH","C_SOC","T_SOC","C_SON","T_SON","C_TC","T_TC","C_TN","T_TN","C_CN","T_CN","C_DOC","T_DOC","C_DON","T_DON","C_FRB","T_FRB","C_CRB","T_CRB","C_FRP","T_FRP","C_CRP","T_CRP","C_MBC","T_MBC","C_MBN","T_MBN","C_LAI","T_LAI","C_FF","T_FF","C_LF","T_LF","C_AGB","T_AGB","C_BGB","T_BGB","Wt","ln_SR","ln_Rh","ln_Ra","ln_Ts","ln_SM","ln_BD","ln_Clay","ln_Silt","ln_Sand","ln_pH","ln_SOC","ln_SON","ln_TC","ln_TN","ln_CN","ln_DOC","ln_DON","ln_FRB","ln_CRB","ln_FRP","ln_CRP","ln_MBC","ln_MBN","ln_LAI","ln_FF","ln_LF","ln_AGB","ln_BGB"
1,"Adji et al. (2014)",-2.207222,113.916667,26.2,2540,"Tropical","Broadleaf","Evergreen","Prescribed burn","NA",2,"NA","NA","NA","NA","Y","NA","NA",1,1,340,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-1.14681439048599,NA,NA,NA,NA,NA,NA,NA,NA,0.133531392624523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Adji et al. (2014)",-2.207222,113.916667,26.2,2540,"Tropical","Broadleaf","Evergreen","Prescribed burn","flood",2,"NA","NA","NA","NA","Y","NA","NA",2,2,195,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.0152674721307884,NA,NA,NA,NA,NA,NA,NA,NA,0.0273989741881146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Akburak & Makineci (2016)",41.15,28.99,12.7,1111.4,"Temperate","Broadleaf","Deciduous","Thinning","NA",0.5,"High","50%BA","NA","NA","N","NA","NA",2,2,1.59,1.76,NA,NA,NA,NA,14.4,15.73,36.62,36.3,NA,NA,NA,NA,NA,NA,NA,NA,5.13,4.8,5.82,5.81,0.24,0.25,NA,NA,NA,NA,24.93,24.16,NA,NA,NA,NA,799.45,1071.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,543.61,420.09,NA,NA,NA,NA,NA,NA,1,0.10157979281792,NA,NA,0.0883415104882315,-0.00877679797555962,NA,NA,NA,NA,-0.066489741268833,-0.0017196908795267,0.0408219945202552,NA,NA,-0.0313735244688522,NA,NA,0.292489436557606,NA,NA,NA,NA,NA,NA,-0.257763103951314,NA,NA,NA
2,"Akburak & Makineci (2016)",41.15,28.99,12.7,1111.4,"Temperate","Broadleaf","Deciduous","Thinning","NA",1.5,"High","50%BA","NA","NA","N","NA","NA",2,2,1.85,1.77,NA,NA,NA,NA,13.97,14.45,32.01,31.52,NA,NA,NA,NA,NA,NA,NA,NA,5.35,4.93,4.6,4.88,0.28,0.27,NA,NA,NA,NA,17.82,19.35,NA,NA,NA,NA,546.12,609.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,441.51,333.41,NA,NA,NA,NA,NA,NA,1,-0.0442060925044957,NA,NA,0.0337822412895706,-0.0154260889920933,NA,NA,NA,NA,-0.0817575728533164,0.0590889163700066,-0.0363676441708748,NA,NA,0.0823709974331276,NA,NA,0.109127308225709,NA,NA,NA,NA,NA,NA,-0.280827705976049,NA,NA,NA
3,"Aosaar et al. (2019)",58.35,27.1,4,673,"Boreal","Broadleaf","Deciduous","Clearcut","NA",0.2,"S","S","Spring","Y","N","21","natural",1,1,5179,3438,2720,1905,2459,1533,13.6,13.6,46.2,46.9,0.73,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-0.409722080481097,-0.356149871729242,-0.472528163344378,0,0.0150378773645405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Aosaar et al. (2019)",58.35,27.1,4,673,"Boreal","Broadleaf","Deciduous","Clearcut","NA",1.2,"S","S","Spring","Y","N","22","natural",1,1,4750,4431,2351,1721,2399,2710,14.3,14.2,39,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-0.0695193258291974,-0.31193525232853,0.121896651034052,-0.00701757265864665,0.165079750359449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Aosaar et al. (2019)",58.35,27.1,4,673,"Boreal","Broadleaf","Deciduous","Clearcut","NA",2.2,"S","S","Spring","Y","N","23","natural",1,1,5829,4362,2614,1687,3215,2675,11.5,11.3,40.2,43.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-0.289914791283975,-0.437929811638199,-0.183877977341613,-0.0175443096509094,0.0765924454813837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Aosaar et al. (2019)",58.28,27.28,4,673,"Boreal","Broadleaf","Deciduous","Clearcut","NA",0.2,"S","S","Spring","Y","N","32","natural",1,1,5372,3344,3493,1505,1879,1839,13.2,13.5,29.2,45.8,0.98,NA,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9,NA,NA,NA,11.1,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-0.474032583438536,-0.841968067623856,-0.0215177748091443,0.0224728558520586,0.450115381845903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.384219999494428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Aosaar et al. (2019)",58.28,27.28,4,673,"Boreal","Broadleaf","Deciduous","Clearcut","NA",1.2,"S","S","Spring","Y","N","33","natural",1,1,8809,6404,4382,3009,4427,3395,12.6,12.4,29.5,48.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-0.31885113099319,-0.375897443525367,-0.265418392739345,-0.0160003413464411,0.505387133135052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.91019206645323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Aosaar et al. (2019)",58.28,27.28,4,673,"Boreal","Broadleaf","Deciduous","Clearcut","NA",2.2,"S","S","Spring","Y","N","34","natural",1,1,8042,5684,4245,2410,3797,3274,11,10.5,29.4,42.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,20.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,-0.347022598240228,-0.566115072260747,-0.148198802300722,-0.0465200156348928,0.366153687893276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2314603877915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
